Buyer_ID,Age,Gender,Annual_Income_USD,City_Type,Daily_Commute_km,Number_of_Cars_Owned,Current_Car_Type,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Home_Charging_Possible,Environmental_Concern_Level,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
EV00001,56,Male,44906.0,Rural,18.1,1,Truck,1,0,Yes,4.0,Yes,Low,No
EV00002,36,Male,88754.0,Rural,5.0,1,SUV,2,3,Yes,1.0,Yes,Low,No
EV00003,42,Male,155958.0,Urban,32.2,2,Sedan,14,3,No,2.0,Yes,Medium,Yes
EV00004,31,Male,37059.0,Rural,89.9,1,Sedan,2,1,Yes,4.0,No,Low,No
EV00005,48,Female,48552.0,Rural,71.0,1,Sedan,2,0,Yes,3.0,Yes,Low,No
EV00006,36,Male,65370.0,Urban,75.7,2,SUV,6,8,Yes,5.0,Yes,Low,No
EV00007,34,Female,128669.0,Rural,85.4,1,Hatchback,2,2,Yes,5.0,Yes,Low,Yes
EV00008,38,Male,93811.0,Urban,12.0,3,Hatchback,14,10,No,2.0,Yes,Low,No
EV00009,65,Female,104837.0,Urban,40.6,2,Truck,13,3,No,3.0,Yes,Low,Yes
EV00010,29,Female,87121.0,Suburban,42.9,2,SUV,5,2,Yes,5.0,No,Low,No
EV00011,65,Other,88554.0,Urban,45.0,2,Hatchback,8,8,Yes,3.0,No,Low,No
EV00012,53,Male,109461.0,Suburban,49.5,2,Sedan,5,6,Yes,1.0,No,Low,No
EV00013,25,Male,83760.0,Urban,44.7,3,SUV,12,9,No,2.0,Yes,Low,Yes
EV00014,30,Female,60341.0,Urban,30.6,2,Hatchback,7,4,No,5.0,Yes,Low,No
EV00015,37,Male,85800.0,Suburban,35.4,2,Truck,0,2,No,2.0,No,Medium,No
EV00016,54,Male,106008.0,Rural,22.9,1,Sedan,1,1,Yes,5.0,Yes,Low,No
EV00017,65,Female,98346.0,Rural,26.9,2,SUV,1,3,Yes,5.0,No,Low,No
EV00018,44,Male,120226.0,Urban,49.1,3,Hatchback,2,19,No,4.0,Yes,Medium,No
EV00019,33,Male,75736.0,Suburban,52.1,2,Truck,2,8,Yes,1.0,Yes,Low,No
EV00020,54,Female,54729.0,Suburban,67.6,1,SUV,1,9,Yes,1.0,Yes,Low,No
EV00021,59,Male,56001.0,Urban,85.2,2,SUV,9,16,No,5.0,Yes,Low,Yes
EV00022,69,Female,56342.0,Urban,95.0,2,Sedan,9,19,Yes,1.0,Yes,Low,No
EV00023,33,Female,79934.0,Suburban,40.0,2,Hatchback,7,5,Yes,3.0,Yes,Low,No
EV00024,44,Female,108205.0,Urban,81.3,1,Sedan,13,19,Yes,2.0,No,Low,No
EV00025,35,Female,112801.0,Urban,21.8,1,Sedan,8,3,No,1.0,Yes,Low,No
EV00026,37,Male,115169.0,Suburban,27.0,1,SUV,5,1,No,3.0,Yes,Medium,No
EV00027,56,Male,77164.0,Suburban,18.3,2,Sedan,4,6,Yes,1.0,Yes,Low,No
EV00028,68,Male,59698.0,Suburban,56.0,1,Sedan,0,3,Yes,4.0,No,Low,No
EV00029,48,Male,151911.0,Urban,22.4,1,SUV,9,16,Yes,1.0,Yes,Low,No
EV00030,25,Female,102879.0,Urban,50.7,3,Sedan,2,8,Yes,1.0,No,Low,No
EV00031,66,Male,59703.0,Urban,42.3,2,Hatchback,4,4,Yes,1.0,Yes,Low,No
